ARQ,NEURONS,SIZE,WEIGHTS,ACC1,ACC2,ACC3,ACC4,ACC5,ACC_M,ACC_DP
ARQ2,2,49,65,0.7017543911933899,0.6257309913635254,0.6198830604553223,0.3742690086364746,0.3742690086364746,0.5391812801361084,0.13771401345729828
ARQ2,2,100,65,0.6292940974235535,0.564235270023346,0.6867058873176575,0.6250588297843933,0.6294117569923401,0.6269411563873291,0.03877894952893257
ARQ2,2,149,65,0.6257309913635254,0.8418713212013245,0.6257309913635254,0.6257309913635254,0.7083041071891785,0.6854736804962158,0.08448552340269089
ARQ2,2,200,65,0.6294117569923401,0.6294117569923401,0.6294117569923401,0.7841176390647888,0.6327058672904968,0.661011791229248,0.06156616285443306
ARQ2,2,249,65,0.7615204453468323,0.6257309913635254,0.750643253326416,0.7669005990028381,0.6233918070793152,0.7056374073028564,0.06640932708978653
ARQ2,2,300,65,0.6294117569923401,0.6294117569923401,0.7951764464378357,0.6455293893814087,0.7069411873817444,0.681294059753418,0.06370185315608978
ARQ2,2,349,65,0.625146210193634,0.7920467853546143,0.8505263328552246,0.7099415063858032,0.6257309913635254,0.7206783294677734,0.08967789262533188
ARQ2,2,400,65,0.8668235540390015,0.6235294342041016,0.7428235411643982,0.7696470618247986,0.8197647333145142,0.7645176887512207,0.08233269304037094
ARQ4,4,49,129,0.3742690086364746,0.6081871390342712,0.6081871390342712,0.6257309913635254,0.6198830604553223,0.5672514915466309,0.09673016518354416
ARQ4,4,100,129,0.62270587682724,0.6387059092521667,0.6377646923065186,0.7243529558181763,0.8703529238700867,0.6987764835357666,0.09296266734600067
ARQ4,4,149,129,0.6257309913635254,0.6257309913635254,0.8316959142684937,0.6257309913635254,0.6079531908035278,0.6633684158325195,0.08444491773843765
ARQ4,4,200,129,0.8278823494911194,0.798235297203064,0.6877647042274475,0.7921176552772522,0.5542352795600891,0.7320470333099365,0.10074891895055771
