ARQ,NEURONS,SIZE,WEIGHTS,ACC1,ACC2,ACC3,ACC4,ACC5,ACC_M,ACC_DP
ARQ2,2,49,75,0.3619047701358795,0.3619047701358795,0.3619047701358795,0.3619047701358795,0.3619047701358795,0.36190476417541506,0.0
ARQ2,2,99,75,0.3523809611797333,0.3619047701358795,0.3523809611797333,0.3523809611797333,0.3523809611797333,0.354285740852356,0.0038095235358923674
ARQ2,2,149,75,0.3619047701358795,0.3619047701358795,0.3619047701358795,0.3619047701358795,0.3619047701358795,0.36190476417541506,0.0
ARQ2,2,200,75,0.3619047701358795,0.3619047701358795,0.3619047701358795,0.3619047701358795,0.3619047701358795,0.36190476417541506,0.0
ARQ2,2,250,75,0.36538460850715637,0.36538460850715637,0.36538460850715637,0.36538460850715637,0.36538460850715637,0.3653846025466919,0.0
ARQ4,4,49,149,0.3619047701358795,0.3619047701358795,0.3619047701358795,0.3619047701358795,0.3619047701358795,0.36190476417541506,0.0
ARQ4,4,99,149,0.3523809611797333,0.3619047701358795,0.3523809611797333,0.3523809611797333,0.3523809611797333,0.354285740852356,0.0038095235358923674
ARQ4,4,149,149,0.3619047701358795,0.3619047701358795,0.3619047701358795,0.3619047701358795,0.3619047701358795,0.36190476417541506,0.0
ARQ4,4,200,149,0.3619047701358795,0.3619047701358795,0.3619047701358795,0.3619047701358795,0.3619047701358795,0.36190476417541506,0.0
ARQ4,4,250,149,0.36538460850715637,0.36538460850715637,0.36538460850715637,0.36538460850715637,0.36538460850715637,0.3653846025466919,0.0
ARQ8,8,49,297,0.3619047701358795,0.3619047701358795,0.3619047701358795,0.3619047701358795,0.3619047701358795,0.36190476417541506,0.0
ARQ8,8,99,297,0.3523809611797333,0.3619047701358795,0.3619047701358795,0.3619047701358795,0.3523809611797333,0.35809524059295655,0.004665694665163755
ARQ8,8,149,297,0.3619047701358795,0.3619047701358795,0.3619047701358795,0.3619047701358795,0.3619047701358795,0.36190476417541506,0.0
ARQ8,8,200,297,0.3619047701358795,0.3619047701358795,0.3619047701358795,0.3619047701358795,0.3619047701358795,0.36190476417541506,0.0
ARQ8,8,250,297,0.36538460850715637,0.36538460850715637,0.36538460850715637,0.36538460850715637,0.36538460850715637,0.3653846025466919,0.0
ARQ16,16,49,593,0.3619047701358795,0.3619047701358795,0.3619047701358795,0.3619047701358795,0.3619047701358795,0.36190476417541506,0.0
ARQ16,16,99,593,0.3523809611797333,0.3619047701358795,0.3523809611797333,0.3523809611797333,0.3523809611797333,0.354285740852356,0.0038095235358923674
ARQ16,16,149,593,0.3619047701358795,0.3619047701358795,0.3619047701358795,0.3619047701358795,0.3619047701358795,0.36190476417541506,0.0
ARQ16,16,200,593,0.3619047701358795,0.3619047701358795,0.3619047701358795,0.3619047701358795,0.3619047701358795,0.36190476417541506,0.0
ARQ16,16,250,593,0.36538460850715637,0.36538460850715637,0.36538460850715637,0.36538460850715637,0.36538460850715637,0.3653846025466919,0.0
