ARQ,NEURONS,SIZE,WEIGHTS,LOSS1,LOSS2,LOSS3,LOSS4,LOSS5,LOSS_M,LOSS_DP
ARQ2,2,49,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ2,2,99,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ2,2,149,75,nan,nan,nan,nan,nan,nan,nan
ARQ2,2,200,75,nan,nan,nan,nan,nan,nan,nan
ARQ2,2,250,75,nan,nan,nan,nan,nan,nan,nan
ARQ4,4,49,149,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ4,4,99,149,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ4,4,149,149,nan,nan,nan,nan,nan,nan,nan
ARQ4,4,200,149,nan,nan,nan,nan,nan,nan,nan
ARQ4,4,250,149,nan,nan,nan,nan,nan,nan,nan
ARQ8,8,49,297,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ8,8,99,297,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ8,8,149,297,nan,nan,nan,nan,nan,nan,nan
ARQ8,8,200,297,nan,nan,nan,nan,nan,nan,nan
ARQ8,8,250,297,nan,nan,nan,nan,nan,nan,nan
ARQ16,16,49,593,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ16,16,99,593,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ16,16,149,593,nan,nan,nan,nan,nan,nan,nan
ARQ16,16,200,593,nan,nan,nan,nan,nan,nan,nan
ARQ16,16,250,593,nan,nan,nan,nan,nan,nan,nan
ARQ32,32,49,1185,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ32,32,99,1185,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ32,32,149,1185,nan,nan,nan,nan,nan,nan,nan
ARQ32,32,200,1185,nan,nan,nan,nan,nan,nan,nan
ARQ32,32,250,1185,nan,nan,nan,nan,nan,nan,nan
ARQ64,64,49,2334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ64,64,99,2334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ64,64,149,2334,nan,nan,nan,nan,nan,nan,nan
ARQ64,64,200,2334,nan,nan,nan,nan,nan,nan,nan
ARQ64,64,250,2334,nan,nan,nan,nan,nan,nan,nan
ARQ128,128,49,4632,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ128,128,99,4632,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ128,128,149,4632,nan,nan,nan,nan,nan,nan,nan
ARQ128,128,200,4632,nan,nan,nan,nan,nan,nan,nan
ARQ128,128,250,4632,nan,nan,nan,nan,nan,nan,nan
ARQ256,256,49,9228,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ256,256,99,9228,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ256,256,149,9228,nan,nan,nan,nan,nan,nan,nan
ARQ256,256,200,9228,nan,nan,nan,nan,nan,nan,nan
ARQ256,256,250,9228,nan,nan,nan,nan,nan,nan,nan
ARQ300,300,49,10821,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ300,300,99,10821,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ300,300,149,10821,nan,nan,nan,nan,nan,nan,nan
ARQ300,300,200,10821,nan,nan,nan,nan,nan,nan,nan
ARQ300,300,250,10821,nan,nan,nan,nan,nan,nan,nan
ARQ350,350,49,12636,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ350,350,99,12636,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ350,350,149,12636,nan,nan,nan,nan,nan,nan,nan
ARQ350,350,200,12636,nan,nan,nan,nan,nan,nan,nan
ARQ350,350,250,12636,nan,nan,nan,nan,nan,nan,nan
ARQ400,400,49,14416,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ400,400,99,14416,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ400,400,149,14416,nan,nan,nan,nan,nan,nan,nan
ARQ400,400,200,14416,nan,nan,nan,nan,nan,nan,nan
ARQ400,400,250,14416,nan,nan,nan,nan,nan,nan,nan
ARQ450,450,49,16231,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ450,450,99,16231,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ450,450,149,16231,nan,nan,nan,nan,nan,nan,nan
ARQ450,450,200,16231,nan,nan,nan,nan,nan,nan,nan
ARQ450,450,250,16231,nan,nan,nan,nan,nan,nan,nan
ARQ500,500,49,18011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ500,500,99,18011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ500,500,149,18011,nan,nan,nan,nan,nan,nan,nan
ARQ500,500,200,18011,nan,nan,nan,nan,nan,nan,nan
ARQ500,500,250,18011,nan,nan,nan,nan,nan,nan,nan
ARQ550,550,49,19826,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ550,550,99,19826,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ550,550,149,19826,nan,nan,nan,nan,nan,nan,nan
ARQ550,550,200,19826,nan,nan,nan,nan,nan,nan,nan
ARQ550,550,250,19826,nan,nan,nan,nan,nan,nan,nan
