ARQ,NEURONS,SIZE,WEIGHTS,LOSS1,LOSS2,LOSS3,LOSS4,LOSS5,LOSS_M,LOSS_DP
ARQ2,2,49,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ2,2,100,19,nan,nan,nan,nan,nan,nan,nan
ARQ2,2,149,19,nan,nan,nan,nan,nan,nan,nan
ARQ2,2,200,19,nan,nan,nan,nan,nan,nan,nan
ARQ4,4,49,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ4,4,100,37,nan,nan,nan,nan,nan,nan,nan
ARQ4,4,149,37,nan,nan,nan,nan,nan,nan,nan
ARQ4,4,200,37,nan,nan,nan,nan,nan,nan,nan
ARQ8,8,49,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ8,8,100,66,nan,nan,nan,nan,nan,nan,nan
ARQ8,8,149,66,nan,nan,nan,nan,nan,nan,nan
ARQ8,8,200,66,nan,nan,nan,nan,nan,nan,nan
ARQ16,16,49,131,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ16,16,100,131,nan,nan,nan,nan,nan,nan,nan
ARQ16,16,149,131,nan,nan,nan,nan,nan,nan,nan
ARQ16,16,200,131,nan,nan,nan,nan,nan,nan,nan
ARQ32,32,49,261,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ32,32,100,261,nan,nan,nan,nan,nan,nan,nan
ARQ32,32,149,261,nan,nan,nan,nan,nan,nan,nan
ARQ32,32,200,261,nan,nan,nan,nan,nan,nan,nan
ARQ64,64,49,514,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ64,64,100,514,nan,nan,nan,nan,nan,nan,nan
ARQ64,64,149,514,nan,nan,nan,nan,nan,nan,nan
ARQ64,64,200,514,nan,nan,nan,nan,nan,nan,nan
ARQ128,128,49,1027,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ128,128,100,1027,nan,nan,nan,nan,nan,nan,nan
ARQ128,128,149,1027,nan,nan,nan,nan,nan,nan,nan
ARQ128,128,200,1027,nan,nan,nan,nan,nan,nan,nan
ARQ256,256,49,2053,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ256,256,100,2053,nan,nan,nan,nan,nan,nan,nan
ARQ256,256,149,2053,nan,nan,nan,nan,nan,nan,nan
ARQ256,256,200,2053,nan,nan,nan,nan,nan,nan,nan
ARQ300,300,49,2407,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ300,300,100,2407,nan,nan,nan,nan,nan,nan,nan
ARQ300,300,149,2407,nan,nan,nan,nan,nan,nan,nan
ARQ300,300,200,2407,nan,nan,nan,nan,nan,nan,nan
ARQ350,350,49,2808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ350,350,100,2808,nan,nan,nan,nan,nan,nan,nan
ARQ350,350,149,2808,nan,nan,nan,nan,nan,nan,nan
ARQ350,350,200,2808,nan,nan,nan,nan,nan,nan,nan
ARQ400,400,49,3202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ400,400,100,3202,nan,nan,nan,nan,nan,nan,nan
ARQ400,400,149,3202,nan,nan,nan,nan,nan,nan,nan
ARQ400,400,200,3202,nan,nan,nan,nan,nan,nan,nan
ARQ450,450,49,3603,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ450,450,100,3603,nan,nan,nan,nan,nan,nan,nan
ARQ450,450,149,3603,nan,nan,nan,nan,nan,nan,nan
ARQ450,450,200,3603,nan,nan,nan,nan,nan,nan,nan
ARQ500,500,49,4004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ500,500,100,4004,nan,nan,nan,nan,nan,nan,nan
ARQ500,500,149,4004,nan,nan,nan,nan,nan,nan,nan
ARQ500,500,200,4004,nan,nan,nan,nan,nan,nan,nan
ARQ550,550,49,4405,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ550,550,100,4405,nan,nan,nan,nan,nan,nan,nan
ARQ550,550,149,4405,nan,nan,nan,nan,nan,nan,nan
ARQ550,550,200,4405,nan,nan,nan,nan,nan,nan,nan
ARQ600,600,49,4806,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ600,600,100,4806,nan,nan,nan,nan,nan,nan,nan
ARQ600,600,149,4806,nan,nan,nan,nan,nan,nan,nan
ARQ600,600,200,4806,nan,nan,nan,nan,nan,nan,nan
