ARQ,NEURONS,SIZE,WEIGHTS,ACC1,ACC2,ACC3,ACC4,ACC5,ACC_M,ACC_DP
ARQ2,2,50,65,0.8117647171020508,0.6294117569923401,0.6235294342041016,0.3764705955982208,0.3176470696926117,0.5517646789550781,0.1812833994626999
ARQ4,4,50,129,0.3705882430076599,0.3705882430076599,0.5588235259056091,0.25882354378700256,0.6294117569923401,0.43764705657958985,0.13596253097057343
ARQ8,8,50,257,0.48235294222831726,0.3529411852359772,0.6294117569923401,0.5352941155433655,0.44117647409439087,0.4882352828979492,0.09241098910570145
ARQ16,16,50,513,0.38235294818878174,0.6470588445663452,0.6000000238418579,0.6176470518112183,0.39411765336990356,0.5282352924346924,0.11535412818193436
ARQ64,64,50,1989,0.4058823585510254,0.4470588266849518,0.4529411792755127,0.3705882430076599,0.364705890417099,0.4082352638244629,0.03694192320108414
ARQ128,128,50,3977,0.3705882430076599,0.6235294342041016,0.3764705955982208,0.6823529601097107,0.38235294818878174,0.4870588302612305,0.13676439225673676
ARQ256,256,50,7953,0.6000000238418579,0.3705882430076599,0.6294117569923401,0.3705882430076599,0.6294117569923401,0.5199999809265137,0.12246601283550262
ARQ300,300,50,9331,0.3705882430076599,0.4470588266849518,0.42352941632270813,0.6294117569923401,0.3705882430076599,0.44823532104492186,0.09538847208023071
ARQ350,350,50,10871,0.6294117569923401,0.30000001192092896,0.43529412150382996,0.3588235378265381,0.6294117569923401,0.47058825492858886,0.13659222424030304
ARQ400,400,50,12411,0.699999988079071,0.3705882430076599,0.3705882430076599,0.6058823466300964,0.3705882430076599,0.4835294246673584,0.14148983359336853
ARQ450,450,50,13981,0.3705882430076599,0.3705882430076599,0.3705882430076599,0.3705882430076599,0.3705882430076599,0.3705882549285889,0.0
ARQ500,500,50,15521,0.3705882430076599,0.6294117569923401,0.3705882430076599,0.6294117569923401,0.6294117569923401,0.525882339477539,0.12679710984230042
ARQ550,550,50,17061,0.6294117569923401,0.44117647409439087,0.6294117569923401,0.3705882430076599,0.6294117569923401,0.5400000095367432,0.1117585077881813
ARQ600,600,50,18631,0.3705882430076599,0.6294117569923401,0.3705882430076599,0.3705882430076599,0.6529411673545837,0.4788235664367676,0.13276927173137665
ARQ2,2,100,65,0.6291764974594116,0.6616470813751221,0.6910588145256042,0.664588212966919,0.5715293884277344,0.6435999870300293,0.041038401424884796
