ARQ,NEURONS,SIZE,WEIGHTS,LOSS1,LOSS2,LOSS3,LOSS4,LOSS5,LOSS_M,LOSS_DP
ARQ2,2,50,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ4,4,50,129,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ8,8,50,257,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ16,16,50,513,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ64,64,50,1989,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ128,128,50,3977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ256,256,50,7953,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ300,300,50,9331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ350,350,50,10871,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ400,400,50,12411,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ450,450,50,13981,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ500,500,50,15521,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ550,550,50,17061,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ600,600,50,18631,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ2,2,100,65,0.6649093157052994,0.5740967978537083,0.5982377764582634,0.6053294956684112,0.6801146459579468,0.6245376063287258,0.04080095581699548
ARQ4,4,100,129,0.5571914061903953,0.5049030594527721,0.6266827550530434,0.6870743924379349,0.5675146466493607,0.5886732519567013,0.06258393582571961
ARQ8,8,100,257,0.47153957933187485,0.4417009289562702,0.5590612241625785,0.4555056865513325,0.5762102368474007,0.5008035311698913,0.05564444490989392
ARQ16,16,100,513,0.3679589531943202,0.3642794685065746,0.38564829345792534,0.36494173012673853,0.41507907714694736,0.37958150448650124,0.019393001779933704
ARQ64,64,100,1989,0.14074034082703293,0.17629977728240193,0.36829630814492703,0.17199943637941031,0.13060995260151687,0.19758916304705781,0.08714012240562699
ARQ128,128,100,3977,0.07332925479742698,0.08496104859215847,0.05086450850081747,0.048397404355055185,0.04382581139726426,0.060275605528544475,0.016000156223153577
ARQ256,256,100,7953,0.005457287558297139,0.0019582180345213375,0.0028507045831443634,0.0057457525623223656,0.011092048322166051,0.005420802212090251,0.003189509283909284
ARQ300,300,100,9331,0.0009205469985715986,0.002492572837716409,0.0017172698108151962,0.0007318394009780604,0.006636628107303295,0.0024997714310769116,0.0021608089798206853
ARQ350,350,100,10871,0.0005398149352606651,0.0003540887029216222,0.00036652972187127374,0.0005904867129257241,0.0008330305528988902,0.000536790125175635,0.0001749395773727109
ARQ400,400,100,12411,0.005809579396336631,0.0006211397438899269,0.0001642855123601672,9.369594244226675e-05,0.00030959243174811136,0.0013996586053554205,0.002212393383602863
ARQ450,450,100,13981,0.016179454257073313,0.00015212486316185548,9.611319725898682e-05,0.0008822033109021276,0.00014797307514914594,0.0034915737407090856,0.006350619852519858
ARQ500,500,100,15521,0.00015147156981324628,0.00011069570734035084,6.929493786962088e-05,0.00021759403071829552,0.0007519426285897169,0.0002601997748662461,0.00025069672083696907
ARQ550,550,100,17061,9.9115994796799e-05,0.0005125795870976901,0.00013238525848294103,0.0004183081603218852,0.00026153303559539153,0.0002847844072589414,0.0001599738246138287
ARQ600,600,100,18631,0.0001529494204359594,0.00016220291269358533,0.00016780534855044495,0.11591053519891148,8.692258374836115e-05,0.023296083092867965,0.04630723518032515
ARQ2,2,150,65,0.6139580955108007,0.6703941957155863,0.6765201298395792,0.6761475908756256,0.5538281152645746,0.6381696254412332,0.04827255637722496
ARQ4,4,150,129,0.6666568760077158,0.5776830379168193,0.5706670841574669,0.5656065408388774,0.5615793327490489,0.5884385743339857,0.03947741317634046
ARQ8,8,150,257,0.5112733390927314,0.49281363844871523,0.5280222761631012,0.46926171630620955,0.4813264963030815,0.4965394932627677,0.020964952746778242
ARQ16,16,150,513,0.41762797083705666,0.3857880820085605,0.48474986722071967,0.42115215554833413,0.4250694407025973,0.42687750326345364,0.03212212195934226
ARQ64,64,150,1989,0.11702071620966308,0.16990582423983142,0.32558336604076127,0.18891582455486058,0.15029892318256316,0.1903449308455359,0.0716789466431992
ARQ128,128,150,3977,0.05945079972156842,0.03929078646322144,0.07348696200800987,0.037659403241183706,0.04082734986271438,0.05014306025933957,0.014085224613295734
ARQ256,256,150,7953,0.008953549146456121,0.0014475289523209437,0.002567332006738828,0.04831723088665361,0.00751459999172444,0.013760048196778788,0.017511036278416423
ARQ300,300,150,9331,0.014642822596812136,0.011586404128363467,0.0013223033141686732,0.02261384625422579,0.02235513444553059,0.01450410214782013,0.007870180216458057
ARQ350,350,150,10871,0.001586229969572967,0.02862050594689053,0.034233124053353096,0.01729106792988811,0.003350837378428434,0.01701635305562663,0.013084219910630057
ARQ400,400,150,12411,0.0019190131494421319,0.0032336763682722157,0.282333912174,0.0016250429605389628,0.023856290334313333,0.06259358699731334,0.11018943227459327
ARQ450,450,150,13981,0.0005934804891340187,0.02312447033037325,0.0007639257128085849,0.000559946056863323,0.0003631659888394623,0.005080997715603728,0.009022634535856815
ARQ500,500,150,15521,0.0003921555492268395,0.005455959177231241,0.0005644186153243365,5.906006482453641e-05,0.000800938153091781,0.0014545063119397465,0.0020152861757427986
ARQ550,550,150,17061,0.19134633894212633,0.6762547556559245,0.0002706878031798491,0.002851798756143277,0.06226463331132654,0.1865976428937401,0.25445062581795186
ARQ600,600,150,18631,0.0165438551877196,5.2365722262877054e-05,0.00043818103630118916,0.03203514602165882,0.034779008715073965,0.01676971133660329,0.014856701016907274
ARQ2,2,200,65,0.5912233445048333,0.6008129179477691,0.6481153485178948,0.6045928844809532,0.6449004808068275,0.6179289952516556,0.02375996923878206
ARQ4,4,200,129,0.49185531318187714,0.6395466428995132,0.5597789067029953,0.476395201832056,0.45284642428159716,0.5240844977796077,0.06781364197209269
ARQ8,8,200,257,0.48194374665617945,0.5187198573350906,0.5149866324663163,0.4894773589074612,0.4796516528725624,0.49695584964752193,0.016610282632643227
ARQ16,16,200,513,0.40763642504811287,0.3871762664616108,0.4111474601924419,0.40614125758409503,0.42978925704956056,0.4083781332671642,0.013573343679346728
ARQ64,64,200,1989,0.37704492745921014,0.20455361866857857,0.16678623679094018,0.3306311880378053,0.18262446636508683,0.2523280874643242,0.08502243070792545
ARQ128,128,200,3977,0.072766888801998,0.08615325367005426,0.09129255067557096,0.08446424883324653,0.08592603528406471,0.0841205954529869,0.006129486218081872
ARQ256,256,200,7953,0.015489070015851212,0.045513974877103465,0.02243260193194146,0.05145760750012414,0.039291549117333485,0.03483696068847075,0.013698882291142363
ARQ300,300,200,9331,0.023099843733089074,0.006728238046521256,0.02310270249054156,0.006045789624422469,0.012199889533894748,0.014235292685693823,0.007546892309493158
ARQ350,350,200,10871,0.0018778485830989666,0.0087962487459572,0.02650125447762548,0.00279392786138942,0.03216815584841243,0.014427487103296699,0.012530372374299981
ARQ400,400,200,12411,0.004309911391906098,0.0014099972960048034,0.003600119359034579,0.0196262146715344,0.023160892131832044,0.010421426970062386,0.009078643226759291
ARQ450,450,200,13981,0.002021174900924052,0.010709125117682562,0.005199677879791125,0.04054037035661168,0.0016054308292541464,0.012015155816852714,0.014629329096731706
ARQ500,500,200,15521,0.04123387647614436,0.009588858485331002,0.0021315209948443224,0.044474808701343134,0.00037650098460972,0.01956111312845451,0.019296045117819353
ARQ550,550,200,17061,0.028691132988897153,0.017799416881686625,0.04516155048108885,0.22917137279604505,0.053798341700312446,0.07492436296960601,0.07813455681360414
ARQ600,600,200,18631,0.045266081368845336,0.02416461659723609,0.012563224590267055,0.015866714459843934,0.005069546443555737,0.02058603669194963,0.01377904078932886
ARQ2,2,250,65,0.6413500273227691,0.6726504988670349,0.6448055138587951,0.6053748462200165,0.6489173913002014,0.6426196555137634,0.02161054733374424
ARQ4,4,250,129,0.4609840811491013,0.5732627460956573,0.555229355096817,0.4749522930383682,0.5840054171085358,0.5296867784976959,0.051415420242229906
