ARQ,NEURONS,SIZE,WEIGHTS,LOSS1,LOSS2,LOSS3,LOSS4,LOSS5,LOSS_M,LOSS_DP
ARQ2,2,50,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ4,4,50,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ8,8,50,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ16,16,50,198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ64,64,50,778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ128,128,50,1544,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ256,256,50,3076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ300,300,50,3604,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ350,350,50,4210,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ400,400,50,4805,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ450,450,50,5411,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ500,500,50,6006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ550,550,50,6612,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ600,600,50,7207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARQ2,2,100,27,0.43125534132122995,0.6927612566947937,0.4393970327079296,0.5269930101931095,0.6914685243368148,0.5563750330507755,0.11580461690074631
ARQ4,4,100,53,0.44027993604540827,0.5427625860273838,0.49011452242732045,0.45494177103042605,0.5690168446302414,0.49942313203215594,0.04956763546238147
ARQ8,8,100,105,0.2714553001523018,0.45503473073244094,0.3464605702459812,0.4000349345803261,0.5203939335048199,0.3986758938431739,0.08591270702722362
ARQ16,16,100,198,0.3418639424443245,0.41050486333668235,0.20455201845616103,0.18649312552064656,0.18998338144272567,0.266679466240108,0.09220673374701174
ARQ64,64,100,778,0.00144886243288056,0.03579412533843424,0.009960505289113826,0.008904492249712348,0.023386000743630574,0.01589879721075431,0.0122054621048959
ARQ128,128,100,1544,0.00044307160078005837,0.0001673296628814569,0.00021767634448679018,0.00035292059747575876,0.00014199789634176342,0.00026459922039316554,0.00011519311088058608
ARQ256,256,100,3076,0.69248280107975,0.26600363195081056,0.692470229268074,0.6924856573343277,0.6924671494960785,0.6071818938258081,0.17058913108423016
ARQ300,300,100,3604,0.6924712878465652,0.6924532812833786,0.69245081782341,0.6924629253149033,0.6924733132123947,0.6924623250961304,9.117430904822436e-06
ARQ350,350,100,4210,7.845580997476706e-05,0.6921904373168946,0.6924608165025711,0.6923236238956452,0.6920050156116485,0.5538116698273468,0.27686664794105514
ARQ400,400,100,4805,0.6924591726064682,0.6924610966444016,0.691639038324356,0.6918152737617492,0.27659403698795415,0.6089937236649858,0.1662001759431403
ARQ450,450,100,5411,0.6924684184789658,0.6918733453750611,0.6924727439880372,2.275351819243099e-05,0.6923537421226501,0.5538382006965813,0.2769078112991349
ARQ500,500,100,6006,0.6924676811695099,0.6916752219200134,0.6924638289213181,0.6924533033370972,0.6924618625640869,0.6923043795824051,0.0003146140614810125
ARQ550,550,100,6612,0.6924595212936402,0.6924560379981994,0.6920266610383987,0.6924724155664443,0.6924604797363281,0.6923750231266022,0.00017426853625048569
ARQ600,600,100,7207,0.6923709064722061,0.6915278095006943,0.6924600839614868,0.6918602669239045,0.6922972404956818,0.6921032614707947,0.0003540551704046326
ARQ2,2,150,27,0.5202314094702403,0.6917532380421957,0.6224146169424057,0.5228232588370642,0.48097372184197107,0.5676392490267753,0.0776807737216038
ARQ4,4,150,53,0.5220793078343073,0.48300355166196823,0.22518144721786182,0.5318482662737369,0.4306505040327708,0.43855261540412893,0.11246899246548406
ARQ8,8,150,105,0.420824577609698,0.2670976016422113,0.2526708960036437,0.2873668616016706,0.18991880690058072,0.28357574875156083,0.0759603522529723
ARQ16,16,150,198,0.13813552731027207,0.058909548052276176,0.04988429032809411,0.17930482851962248,0.07421783941487471,0.10009040672502792,0.05021605879497859
ARQ64,64,150,778,0.00047266307610698276,0.0001588932365545285,0.00043828136648395836,0.00035652203847348575,0.0010217832496709888,0.0004896285934579889,0.00028747736464354476
ARQ128,128,150,1544,8.273825373952567e-05,6.150097847125835e-05,0.23810838084401137,9.452234005863036e-05,6.456681491390744e-05,0.04768234184623894,0.095213020264861
ARQ256,256,150,3076,0.69199334025383,0.23961801104280936,0.6920224412282308,0.0001093506130494859,0.6920064663887024,0.4631499219053244,0.29034474130317545
ARQ300,300,150,3604,0.6919960379600525,0.691517288684845,0.6919978864987691,0.0010028705184536365,4.607747072477559e-06,0.41530373828183853,0.33868297348327736
ARQ350,350,150,4210,0.6916059140364329,0.6920067433516185,0.69201562444369,0.6911868306001028,0.6911775553226471,0.6915985335508983,0.0003707766212089915
ARQ400,400,150,4805,0.6919959135850271,0.6920008432865142,0.6919943217436473,0.6920064425468445,0.691995020310084,0.6919985082944233,4.578871226635828e-06
ARQ450,450,150,5411,3.072272581903235e-06,0.6912246263027191,0.6913439615567525,0.691282041867574,9.09607845578623e-06,0.41477255961561665,0.3386554111892047
ARQ500,500,150,6006,0.6920037686824798,0.6919959485530853,0.6913683291276296,0.6912969092528025,0.6917415428161621,0.6916812996864319,0.0003007743252077696
ARQ550,550,150,6612,0.691065213282903,0.6911660226186117,0.691202026605606,0.6919961039225261,0.6911482409636179,0.6913155214786529,0.00034323764998608403
ARQ600,600,150,7207,0.6910781101385752,0.6910400835673014,0.6920100351174673,0.6919968724250793,0.6920003318786621,0.691625086625417,0.000462305283899648
ARQ2,2,200,27,0.6920909982919693,0.6927621096372605,0.6925418388843536,0.4519097575545311,0.5768038669228553,0.621221714258194,0.09577737479370843
ARQ4,4,200,53,0.5233286705613136,0.35975513242185114,0.639115107357502,0.26271957367658616,0.5629940056800842,0.4695824979394674,0.13799274340130432
ARQ8,8,200,105,0.329748260974884,0.41730849131941794,0.3426819695532322,0.2930970500409603,0.4660986641049385,0.3697868871986866,0.06285437216738698
ARQ16,16,200,198,0.13602197885513306,0.10992334965616464,0.25640652716159823,0.21503853738307954,0.3482744817435741,0.21313297495990993,0.08571789873727705
ARQ64,64,200,778,0.0006326929383067182,0.25999130019365113,0.03363151963203563,0.0012776788164046593,0.0025599415227770803,0.05961862662063504,0.10095864316897672
ARQ128,128,200,1544,0.00013237703466757012,0.00010386612876004619,0.0004636782672605477,0.00024029772791891446,0.00020160108164418489,0.00022836404805025266,0.00012723575715523435
ARQ256,256,200,3076,0.6918354070186615,0.6912315309047699,0.6919211256504059,0.28452845376332336,0.6919266468286515,0.6102886328331624,0.16288029506885723
ARQ300,300,200,3604,0.6918139737844468,0.690852712392807,0.6918899190425872,0.6919080621004104,0.6909455490112305,0.6914820432662963,0.0004778945487929227
ARQ350,350,200,4210,0.6913552165031434,0.6919497406482696,0.6919206792116165,8.495845567175309e-05,0.2596068313887362,0.46698348524148753,0.28724503197451007
ARQ400,400,200,4805,2.1616038082896694e-05,0.6919205433130264,0.6919203704595566,0.6919615775346756,0.27655610094079747,0.47047604165722773,0.28497838888846383
ARQ450,450,200,5411,8.25211019150877e-06,0.0004074224681245069,0.6919390952587128,0.02803207987744372,0.0001794101189545927,0.14411325196668542,0.2741249935109129
ARQ500,500,200,6006,0.6908455729484558,0.6919262331724166,0.6918993246555328,0.6911125302314758,0.691143786907196,0.6913854895830155,0.0004429146813084509
ARQ550,550,200,6612,0.6908411610126496,0.6913458997011185,0.6915335559844971,0.6908179742097854,0.6913596099615097,0.691179640173912,0.00029348191359383096
ARQ600,600,200,7207,0.6911558932065964,0.6919347542524338,0.6908433055877685,0.6908646911382675,0.6910563552379608,0.6911709998846054,0.0003994748906662709
ARQ2,2,250,27,0.6109355304241181,0.6093965594768525,0.6917729730606079,0.24522340214252472,0.3998862638473511,0.5114429457902909,0.16451768432167516
ARQ4,4,250,53,0.30110231518745423,0.4654217656850815,0.3936573951244354,0.3321372680068016,0.5526749243736268,0.4089987336754799,0.09122618594516065
ARQ8,8,250,105,0.23946923172473908,0.24328429353237152,0.3453980675935745,0.4215675706863403,0.36071146082878114,0.32208612487316135,0.0706642780594621
ARQ16,16,250,198,0.07905807340145111,0.19411197286844253,0.0603585412800312,0.026172054558992387,0.047473938442766664,0.08143491611033679,0.058912331388088796
ARQ64,64,250,778,0.0002480042302195216,0.0002383526722114766,0.00021061952519812622,0.00041782873860211114,0.00043960618005803553,0.0003108822692578542,9.723600218468222e-05
ARQ128,128,250,1544,3.20644136172632e-05,4.393943351169583e-05,0.23796714095956123,8.874792409915245e-05,4.551141333331543e-05,0.04763548082882453,0.09516583201315938
ARQ256,256,250,3076,0.691671480178833,0.23631935724951153,0.6916348495483399,0.6916804947853088,0.26041434150174975,0.5143441046527486,0.21730314603539744
ARQ300,300,250,3604,0.6916469469070434,7.109596630584747e-06,0.6916614632606506,0.24689572172243424,0.6916789140701294,0.4643780311113776,0.28910673380463564
ARQ350,350,250,4210,0.6908738226890564,0.6906526775360108,0.6906384525299072,0.6907539219856262,0.6913732228279114,0.6908584195137024,0.0002708854661475819
ARQ400,400,250,4805,0.2356128660255663,0.6906685752868652,0.6906638979911804,0.6906981854438782,0.6916991772651673,0.5998685404025315,0.1821282679297197
ARQ450,450,250,5411,0.6916404457092286,0.6910060133934021,0.6907991366386413,0.6906760883331299,0.6908611965179443,0.6909965761184692,0.0003390219807173151
ARQ500,500,250,6006,0.6907903485298157,0.6916499600410462,2.102572313390283e-06,0.6915211477279664,0.6907409191131592,0.5529408955968601,0.2764696431169804
ARQ550,550,250,6612,0.6911928377151489,0.6908033108711242,0.6911888513565063,0.6906954517364502,0.6909860649108887,0.6909733033180238,0.00020045852441493534
ARQ600,600,250,7207,0.6907298622131348,0.6910100378990174,0.6913177571296691,0.6906899747848511,0.6906599912643433,0.6908815246582031,0.0002512306979834576
ARQ2,2,300,27,0.5825226557254791,0.47275511652231217,0.538737128674984,0.6918823546171189,0.5416627237200737,0.5655119958519936,0.07231645743578408
ARQ4,4,300,53,0.36446072548627856,0.32621865198016164,0.21359819695353507,0.5725793161988258,0.4083813288807869,0.37704764389991763,0.11719400439296929
ARQ8,8,300,105,0.20428758166730404,0.3547256670892239,0.36183748483657835,0.30862445145845413,0.23745440438389778,0.2933859178870916,0.06284463775902978
ARQ16,16,300,198,0.28881700003519656,0.3329016262292862,0.041843508249148724,0.28500800581648944,0.1316959997266531,0.2160532280113548,0.1106056458693615
ARQ64,64,300,778,0.00034038384871109883,0.0006380214599630563,0.0009959388750576182,0.0010621685863679885,0.00038597341826971385,0.0006844972376738952,0.0002997739262342935
ARQ128,128,300,1544,4.6458889647738034e-05,0.00032557350157276234,3.305850460264992e-05,7.509303968845415e-05,0.0006072747202824758,0.00021749173115881605,0.00022233204131286654
ARQ256,256,300,3076,0.6910733437538147,0.6918458086252213,0.6918518596887588,0.6918152379989624,0.6919432884454727,0.691705907702446,0.000319159562133535
ARQ300,300,300,3604,0.6919177252054215,0.246269723194805,0.6919486618041992,0.6909825760126114,0.6919043320417404,0.6026046036517555,0.17816781355127959
ARQ350,350,300,4210,0.6917439323663711,0.6919445723295212,0.6910587155818939,0.24607191203318032,0.6915135824680329,0.6024665429557999,0.17819755960593084
